timestamp,src_ip,dst_ip,dst_port,protocol,size_bytes,label,scenario_name
2026-01-01T00:03:29.382358+00:00,10.10.10.6,203.0.113.11,443,tcp,120,beacon,jittered
2026-01-01T00:03:45+00:00,10.10.10.5,203.0.113.10,443,tcp,120,beacon,fixed_periodic
2026-01-01T00:03:49.932071+00:00,10.10.10.8,203.0.113.13,9443,tcp,124,beacon,time_size_jittered
2026-01-01T00:04:01.629587+00:00,10.0.0.25,203.0.113.77,8080,udp,205,benign,normal_telemetry
2026-01-01T00:04:07.694984+00:00,10.0.0.25,203.0.113.8,53,udp,328,benign,normal_api_polling
2026-01-01T00:04:08.043491+00:00,10.10.10.6,203.0.113.11,443,tcp,120,beacon,jittered
2026-01-01T00:04:30+00:00,10.10.10.5,203.0.113.10,443,tcp,120,beacon,fixed_periodic
2026-01-01T00:04:31+00:00,10.10.10.7,203.0.113.12,8443,tcp,120,beacon,bursty
2026-01-01T00:04:32.001106+00:00,10.10.10.7,203.0.113.12,8443,tcp,120,beacon,bursty
2026-01-01T00:04:32.844453+00:00,10.10.10.8,203.0.113.13,9443,tcp,144,beacon,time_size_jittered
2026-01-01T00:04:34.882589+00:00,10.10.10.7,203.0.113.12,8443,tcp,120,beacon,bursty
2026-01-01T00:04:43.955536+00:00,10.10.10.6,203.0.113.11,443,tcp,120,beacon,jittered
2026-01-01T00:04:54.335044+00:00,10.0.0.25,203.0.113.8,53,udp,344,benign,normal_api_polling
2026-01-01T00:05:13.220604+00:00,10.10.10.8,203.0.113.13,9443,tcp,125,beacon,time_size_jittered
2026-01-01T00:05:15+00:00,10.10.10.5,203.0.113.10,443,tcp,120,beacon,fixed_periodic
2026-01-01T00:05:23.426971+00:00,10.10.10.6,203.0.113.11,443,tcp,120,beacon,jittered
2026-01-01T00:05:26.968568+00:00,10.0.0.25,203.0.113.8,53,udp,220,benign,normal_api_polling
2026-01-01T00:05:41.455323+00:00,10.0.0.25,203.0.113.77,8080,udp,157,benign,normal_telemetry
2026-01-01T00:06:04.435735+00:00,10.0.0.25,203.0.113.8,53,udp,192,benign,normal_api_polling
2026-01-01T00:06:09.824046+00:00,10.10.10.8,203.0.113.13,9443,tcp,123,beacon,time_size_jittered
2026-01-01T00:06:29.344347+00:00,10.0.0.25,203.0.113.8,53,udp,276,benign,normal_api_polling
2026-01-01T00:06:57.874382+00:00,10.10.10.8,203.0.113.13,9443,tcp,112,beacon,time_size_jittered
2026-01-01T00:07:04.471797+00:00,10.0.0.25,198.51.100.20,80,tcp,455,benign,normal_software_update
2026-01-01T00:07:28.323217+00:00,10.0.0.25,203.0.113.8,53,udp,226,benign,normal_api_polling
2026-01-01T00:07:31+00:00,10.10.10.7,203.0.113.12,8443,tcp,120,beacon,bursty
2026-01-01T00:07:31.772841+00:00,10.10.10.7,203.0.113.12,8443,tcp,120,beacon,bursty
2026-01-01T00:07:56.323019+00:00,10.10.10.8,203.0.113.13,9443,tcp,135,beacon,time_size_jittered
2026-01-01T00:08:31.873522+00:00,10.0.0.25,203.0.113.77,443,udp,764,benign,normal_bursty_session
2026-01-01T00:08:35.736667+00:00,10.0.0.25,203.0.113.77,443,udp,476,benign,normal_bursty_session
2026-01-01T00:08:39.412487+00:00,10.0.0.25,203.0.113.77,443,udp,352,benign,normal_bursty_session
2026-01-01T00:10:41.892172+00:00,10.0.0.25,198.51.100.20,80,tcp,496,benign,normal_software_update
2026-01-01T00:11:18.085766+00:00,10.0.0.25,203.0.113.77,443,udp,1349,benign,normal_bursty_session
2026-01-01T00:13:35.353433+00:00,10.0.0.25,198.51.100.20,80,tcp,427,benign,normal_software_update
2026-01-01T00:17:35.353433+00:00,10.0.0.25,198.51.100.20,80,tcp,443,benign,normal_software_update
2026-01-01T00:20:41.312574+00:00,10.0.0.25,198.51.100.20,80,tcp,350,benign,normal_software_update
2026-01-01T00:21:36.289895+00:00,10.0.1.8,198.51.100.20,443,udp,86,benign,normal_keepalive
2026-01-01T00:23:21.807818+00:00,10.0.1.8,198.51.100.20,443,udp,90,benign,normal_keepalive
2026-01-01T00:24:41.312574+00:00,10.0.0.25,198.51.100.20,80,tcp,416,benign,normal_software_update
2026-01-01T00:25:33.721182+00:00,10.0.1.8,198.51.100.20,443,udp,101,benign,normal_keepalive
2026-01-01T00:27:32.996663+00:00,10.0.1.8,198.51.100.20,443,udp,99,benign,normal_keepalive
2026-01-01T00:41:57.089485+00:00,10.0.1.8,203.0.113.8,53,tcp,340,benign,normal_cloud_sync
2026-01-01T00:44:07.702390+00:00,10.0.1.8,203.0.113.8,53,tcp,788,benign,normal_cloud_sync
2026-01-01T00:46:41.933356+00:00,10.0.1.8,203.0.113.8,53,tcp,1496,benign,normal_cloud_sync
2026-01-01T00:49:41.469161+00:00,10.0.1.8,203.0.113.8,53,tcp,1133,benign,normal_cloud_sync
